Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1
1.525640584,-1.514259356,0.131132376,1.048833351,-0.503910358,0.881354433,-1.438288042,1.5082558
1.507616952,-0.37159895,0.635642657,1.067501716,-0.523020705,0.878731316,-1.480018058,1.28248972
1.281502291,-0.665355136,0.643630585,1.043499532,-0.561900376,0.870142206,-1.593285247,1.238972491
1.23791787,-0.402347764,0.41864592,1.006162802,-0.582987656,0.865087907,-1.635015264,1.335822867
1.334917783,-0.24480721,0.529335782,0.990161346,-0.550038782,0.865087907,-1.575400954,1.50007587
1.499424392,-0.242303148,0.05037131,1.008829711,-0.545425939,0.865087907,-1.593285247,1.487642375
1.4869717,0.219979158,0.065076359,0.976826799,-0.581669701,0.881050535,-1.617130971,1.283798509
1.2828131,0.259317177,0.109191508,0.998162074,-0.620549372,0.881050535,-1.706552435,1.100568068
1.099299752,0.413572832,-0.177180904,0.97415989,-0.653498246,0.88106653,-1.646938126,1.504983828
1.504339928,0.492464273,0.047310999,0.966159162,-0.642295629,0.88106653,-1.545593799,1.788336617
1.788130213,-0.036431489,-0.16079009,0.958158434,-0.61066471,0.88106653,-1.396558025,1.881260627
1.881197697,0.308509895,0.007060141,0.928822431,-0.611323687,0.88106653,-1.319059422,1.751690529
1.751427543,-0.326714297,-0.359865858,0.952824615,-0.632410967,0.88106653,-1.444249473,1.688541466
1.688180978,0.105492329,-0.11307,0.89681952,-0.665359841,0.88106653,-1.444249473,1.632590742
1.632143867,0.258670968,-0.200159165,0.864816608,-0.702921557,0.88106653,-1.444249473,1.586783132
1.58626553,0.03497469,-0.404473769,0.875484245,-0.716101107,0.88106653,-1.420403749,1.232101349
1.23103612,0.422592843,-0.340414735,0.891485701,-0.730598612,0.88106653,-1.336943715,1.205925572
1.204819927,0.187937925,-0.719841322,0.81681224,-0.755639756,0.88106653,-1.444249473,1.232428546
1.231363822,0.446314126,-0.517030938,0.840814424,-0.736529409,0.889143811,-1.259445112,1.591363893
1.590853363,0.730565644,-0.69170203,0.814145331,-0.616595507,1.237170687,-0.836183513,1.557335382
1.556772313,0.447498844,-0.715691749,0.77947551,-0.633728922,1.370181923,-0.830222082,1.709154891
1.70882623,0.549546135,-0.544055033,0.792810056,-0.582987656,1.370357864,-0.728877756,1.991526089
1.991633408,0.127544238,-0.735687505,0.798143875,-0.577056858,1.370357864,-0.561957689,1.773285546
1.773055902,0.65285892,-0.545040557,0.774141691,-0.588259476,1.370357864,-0.585803413,1.30604792
1.305096864,-0.842497386,-1.134954239,0.710135868,-0.556628556,1.370357864,-0.484459086,1.325352556
1.324431306,0.652885846,-0.641725609,0.707468958,-0.571126061,1.370373858,-0.597726274,1.324698161
1.323775901,0.245639071,-0.552406049,0.744805689,-0.587600498,1.370405848,-0.645417722,1.164371525
1.163201722,0.014430604,-0.723679677,0.718136596,-0.598803115,1.370437837,-0.967334995,1.087152982
1.085863953,0.115670133,-0.533058664,0.726137323,-0.59748516,1.370485821,-1.104447907,0.869566833
0.867941852,0.442463793,-0.686540998,0.69946823,-0.616595507,1.36989402,-1.038872166,0.914065654
0.91250938,0.953346458,-0.676945111,0.678132956,-0.625821192,1.370981654,-1.009065012,0.904904132
0.903333712,1.277986086,-0.792017959,0.672799137,-0.609346755,1.371061627,-0.824260651,0.872838805
0.871218876,1.006577987,-0.864609553,0.654130772,-0.581010723,1.3711416,-0.710993463,0.82048725
0.818786491,1.046696843,-0.718129624,0.635462407,-0.505228313,1.371189584,-0.579841982,1.165680314
1.164512531,0.843733128,-0.863909313,0.624794769,-0.392543163,1.371269557,-0.32350045,1.064576374
1.063252487,0.78492804,-0.626761211,0.608793314,-0.399132938,1.37134953,-0.395037621,0.907194513
0.905627629,-0.407328965,-1.02309731,0.574123493,-0.399132938,1.371413509,-0.418883345,0.970670773
0.969201896,0.075901308,-0.716703208,0.563455855,-0.281175969,1.371477487,-0.395037621,0.844372647
0.842708767,-0.193056579,-0.676919176,0.536786762,-0.210006401,1.371541466,-0.472536224,0.959546067
0.958060014,0.047683482,-0.867125232,0.558122037,0.233485444,1.363752087,-0.591764843,0.885272299
0.883671568,0.137479713,-0.617398737,0.560788946,1.130353797,1.346989728,-0.591764843,0.678810855
0.676891349,0.462819401,-0.729048188,0.510117669,3.844023068,1.347069701,-0.591764843,0.732471199
0.730634544,0.344778418,-0.704124814,0.512784578,4.479936338,1.331171052,-0.478497655,0.506705119
0.504519882,0.578383246,-0.719296691,0.486115485,5.067744252,1.331203041,-0.496381948,0.686336391
0.684428504,0.366830326,-0.955822356,0.494116213,6.481250951,1.331267019,-0.400999052,0.339180144
0.33673625,0.330804132,-0.730889561,0.494116213,6.508269027,1.292879938,-0.651379153,0.032269155
0.029351391,0.559723939,-0.94521501,0.488782394,6.252585764,1.246303613,-0.865990668,-0.023681569
-0.02668572,0.815784556,-0.861938265,0.491449304,5.627875112,1.150559835,-0.93752784,-0.313251106
-0.316702351,-0.171489328,-1.249093433,0.50478385,3.920464456,1.034454908,-0.907720685,-0.227525435
-0.23084432,1.149875001,-0.919357983,0.512784578,3.027549968,1.006384355,-1.116370769,-0.246830071
-0.250178762,0.849899046,-0.946745165,0.502116941,2.241389832,0.974986922,-1.187907941,0.282902223
0.280371436,1.019906063,-1.102898787,0.574123493,0.660502853,0.975066895,-0.514266241,0.914392851
0.912837082,1.406878007,-1.241857615,0.566122765,0.148477349,0.975114879,-0.341384743,1.814185198
1.814018703,-0.189394724,-1.961030498,0.606126404,0.099713016,0.984775627,-0.418883345,2.225144902
2.225612927,1.605264403,-1.03297848,0.627461679,0.122777227,1.061181914,-0.305616157,2.771564254
2.772875948,1.444869756,-0.889792275,0.643463135,0.026566515,1.061229898,-0.228117554,2.788251312
2.78958877,1.07965354,-1.055230566,0.667465319,0.075330849,1.04107668,-0.174464675,2.510788072
2.511697129,1.054235957,-0.914845322,0.598125676,0.055561524,1.013853841,-0.305616157,2.09132124
2.091582642,1.048554696,-1.025068357,0.587458039,-0.07162113,0.969308833,-0.424844776,1.858029625
1.857930826,1.030757002,-0.876124618,0.576790402,-0.208029468,0.951778732,-0.526189103,1.528869225
1.528262204,0.511823641,-1.183971071,0.555455127,-0.212642311,0.926987076,-0.38907619,1.449687498
1.448958221,1.402973823,-0.938316345,0.603459495,-0.23109368,0.919421622,-0.38907619,1.407806254
1.407012313,1.196563656,-0.941817547,0.600792586,-0.172444684,0.896901201,-0.174464675,1.508582997
1.507944654,1.068533348,-1.133890911,0.58479113,-0.273927217,0.873900941,-0.150618952,1.215087094
1.213995595,1.1547485,-1.01306053,0.563455855,-0.282493924,0.851924337,0.081876856,1.02269513
1.021306579,1.313150667,-1.236592844,0.579457311,-0.389907254,0.830715475,0.075915425,0.775334034
0.773563559,1.598694604,-1.055074957,0.558122037,-0.457781934,0.79287221,0.16533689,0.832920745
0.831239183,1.284071227,-1.000222788,0.520785306,-0.4353767,0.790201109,0.362064112,0.61598899
0.613972486,1.077203328,-1.101913263,0.520785306,-0.470302506,0.790201109,0.427639853,0.484128511
0.481908416,1.608468526,-0.860874937,0.515451488,-0.464371709,0.790201109,0.213028338,0.501142767
0.498948941,1.195082759,-1.020140739,0.50478385,-0.493366718,0.776157836,0.177259752,0.385314952
0.382942289,1.651899207,-0.934815142,0.46744712,-0.530269457,0.763522088,0.099761149,0.347360075
0.34492881,-0.220574344,-1.334107811,0.480781666,-0.492707741,0.763554077,0.195144045,0.191287002
0.188614761,1.5107293,-0.944022008,0.440778027,-0.501274448,0.763570072,0.218989769,0.435048929
0.432753055,0.963631963,-0.881104106,0.43011039,-0.499956493,0.763570072,0.10572258,0.34081613
0.338374762,0.974617529,-1.110419888,0.424776571,-0.509182178,0.763570072,0.123606873,0.334599383
0.332148416,1.422790922,-0.943736725,0.400774387,-0.515771953,0.763570072,0.201105476,0.495253217
0.493050298,1.638894236,-1.13635472,0.392773659,-0.540154119,0.751286206,0.195144045,0.797583445
0.795847323,1.805239398,-0.998744503,0.379439113,-0.546743894,0.75133419,0.284565509,0.842409464
0.840742552,1.526238334,-0.954992441,0.355436929,-0.550697759,0.751414163,0.415716991,0.729199227
0.727357519,1.64080594,-1.033704656,0.358103838,-0.536859232,0.751446152,0.427639853,0.725600057
