Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2
1.891289912,-0.262680728,0.991889271,1.139901357,-0.464226039,0.878044089,-0.983150163,1.829149646,1.538432451
1.829030653,-0.297767847,0.952355724,1.115834934,-0.450410213,0.878044089,-1.072946358,1.537970698,1.497272362
1.537395176,-0.783117017,0.59575017,1.1024647,-0.471462901,0.878044089,-1.246552335,1.496747611,1.415932187
1.496107457,-0.564603896,0.818641603,1.054331855,-0.441857559,0.878044089,-1.462063203,1.415282939,1.445985585
1.414515059,-0.759281693,0.688167936,1.070376136,-0.478699762,0.878044089,-1.57580505,1.445382336,1.523405752
1.444661648,-0.770397597,0.741803942,1.062353995,-0.479357658,0.878044089,-1.450090377,1.522921,1.505439046
1.522321882,-1.537014465,0.133894648,1.046309714,-0.503041932,0.878044089,-1.438117551,1.504926795,1.280038562
1.504299465,-0.383623936,0.638187164,1.065028042,-0.52212093,0.875419488,-1.480022442,1.279181319,1.236591802
1.27820005,-0.680138632,0.646171644,1.04096162,-0.560936822,0.866825519,-1.593764289,1.23566806,1.333285343
1.234618569,-0.414661496,0.421284091,1.003524962,-0.581989509,0.86176836,-1.63566918,1.332509598,1.497272362
1.331611941,-0.255641561,0.531926175,0.987480681,-0.549094685,0.86176836,-1.57580505,1.496747611,1.484859002
1.496107457,-0.253113984,0.053168442,1.006199009,-0.54448941,0.86176836,-1.593764289,1.484315252,1.281345231
1.483655605,0.213509372,0.067867144,0.974110446,-0.580673716,0.877740019,-1.617709941,1.280489988,1.098411505
1.279510771,0.253216794,0.111963251,0.995502822,-0.619489609,0.877740019,-1.707506136,1.097276268,1.502172373
1.096009797,0.408920982,-0.174285552,0.971436399,-0.652384433,0.877756023,-1.647642006,1.501655122,1.785066314
1.501022661,0.488553252,0.050109452,0.963414258,-0.641200192,0.877756023,-1.545872985,1.784982053,1.877839847
1.784793811,-0.045309093,-0.157901813,0.955392117,-0.609621161,0.877756023,-1.39621266,1.877897582,1.748479569
1.877855019,0.302871455,0.009875967,0.925977601,-0.610279058,0.877756023,-1.318389291,1.748339309,1.685432766
1.748093616,-0.338317795,-0.356891653,0.950044023,-0.631331745,0.877756023,-1.444103964,1.685196009,1.629572646
1.684851316,0.097947458,-0.11020232,0.893889037,-0.664226569,0.877756023,-1.444103964,1.629250391,1.583839215
1.628817983,0.252564516,-0.197253894,0.861800474,-0.701726669,0.877756023,-1.444103964,1.583446961,1.229731787
1.582942739,0.026767624,-0.401480309,0.872496662,-0.714884598,0.877756023,-1.420158312,1.228797546,1.203598398
1.227737282,0.418025696,-0.337448925,0.888540943,-0.729358321,0.877756023,-1.33634853,1.202624157,1.230058455
1.201522857,0.181167256,-0.716711738,0.813667629,-0.754358387,0.877756023,-1.444103964,1.229124713,1.588412558
