Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2,Y_n_3
1.496326609,-0.076440833,1.402532903,1.183201481,-0.447749739,0.874721226,-0.908875297,1.595486703,1.472700259,1.69144299
1.594939274,-0.059654725,1.318339451,1.212695328,-0.454974691,0.874721226,-0.884832237,1.472153497,1.690893247,1.878967548
1.47142773,-0.115126127,1.082359528,1.210014069,-0.447749739,0.874721226,-0.99302601,1.690685544,1.878709067,1.888099179
1.690275771,-0.086681844,1.150185628,1.164432669,-0.466797339,0.874721226,-1.059144426,1.878793218,1.887854881,1.826134542
1.878655448,-0.069221321,0.991303184,1.13762008,-0.465483712,0.874721226,-0.938929123,1.887953244,1.825794001,1.535879139
1.887828719,-0.029469441,0.992960637,1.13762008,-0.46351327,0.874721226,-0.981004479,1.825795926,1.535087775,1.494786801
1.825581521,-0.033304993,0.953466631,1.113488751,-0.449720181,0.874721226,-1.071165957,1.53463796,1.493931612,1.413580514
1.534002544,-0.086360977,0.597217748,1.100082457,-0.470738222,0.874721226,-1.245478146,1.493417843,1.412599196,1.443584444
1.492722824,-0.062474197,0.819886249,1.051819797,-0.441181602,0.874721226,-1.461865692,1.411959041,1.442649727,1.520877175
1.411146234,-0.083755417,0.68954308,1.06790735,-0.477963173,0.874721226,-1.57607023,1.442056269,1.520062509,1.502940043
1.441286982,-0.084970553,0.74312544,1.059863574,-0.478619987,0.874721226,-1.449844162,1.519589346,1.502097518,1.277910573
1.51893217,-0.168773339,0.135824168,1.043776021,-0.502265283,0.874721226,-1.437822632,1.501596438,1.276718533,1.234535328
1.500913245,-0.042690358,0.639612298,1.062544833,-0.521312883,0.87209509,-1.479897988,1.275867228,1.233275917,1.331069709
1.274857634,-0.075103886,0.647588792,1.038413503,-0.560064896,0.863496094,-1.594102526,1.232357105,1.329960235,1.494786801
1.231284595,-0.046083232,0.422926168,1.000875879,-0.581082937,0.858435978,-1.636177882,1.329191664,1.493931612,1.482393874
1.328259176,-0.028699954,0.533457589,0.984788326,-0.548242248,0.858435978,-1.57607023,1.493417843,1.481519436,1.279215092
1.492722824,-0.028423652,0.055178702,1.003557138,-0.543644552,0.858435978,-1.594102526,1.480986379,1.278025078,1.096582479
1.480273385,0.022585318,0.069862703,0.971382032,-0.57976931,0.874416979,-1.618145586,1.277175803,1.0951088,1.499678746
1.276168101,0.026925938,0.113914706,0.992832103,-0.618521323,0.874416979,-1.708307064,1.093975285,1.498831156,1.782107037
1.092702677,0.043946755,-0.172047795,0.968700773,-0.651362012,0.874432992,-1.648199412,1.498325,1.781698113,1.874727862
1.497637077,0.052651763,0.052122773,0.960656996,-0.640196178,0.874432992,-1.546016404,1.781631515,1.874462797,1.745580514
1.78135325,-0.005707443,-0.155680443,0.95261322,-0.608669116,0.874432992,-1.395747275,1.874540349,1.745114858,1.682637489
1.874396429,0.032353942,0.011929528,0.923119372,-0.60932593,0.874432992,-1.317607328,1.744991411,1.682074069,1.626869316
1.744660165,-0.037737714,-0.354471256,0.947250702,-0.630343971,0.874432992,-1.443833397,1.681852662,1.626219277,1.581211163
1.681430117,0.009952658,-0.108028659,0.890944266,-0.66318466,0.874432992,-1.443833397,1.625911075,1.580490208,1.227686605
1.625407639,0.026854635,-0.194993165,0.85876916,-0.700623046,0.874432992,-1.443833397,1.580110945,1.226416557,1.201596232
1.579541284,0.002171629,-0.399015316,0.869494195,-0.713759322,0.874432992,-1.419790336,1.225487086,1.20028566,1.228012734
1.224404642,0.044942037,-0.335047975,0.885581748,-0.728209225,0.874432992,-1.335639624,1.199315583,1.226743193,1.585776978
1.198195296,0.019049837,-0.713931455,0.810506501,-0.753168149,0.874432992,-1.443833397,1.225814229,1.585063115,1.551859493
1.224732259,0.047559482,-0.511411372,0.83463783,-0.734120549,0.882519571,-1.257499677,1.584690958,1.551092949,1.703183658
1.584127919,0.07892425,-0.685832441,0.807825242,-0.61458044,1.230947028,-0.83073535,1.550668005,1.70265215,1.98463356
1.550055769,0.047690205,-0.709787822,0.772968877,-0.631657599,1.364111362,-0.824724585,1.70246272,1.984539199,1.767105072
1.702069977,0.058950267,-0.538396785,0.786375171,-0.581082937,1.364287505,-0.722541578,1.984787804,1.766672847,1.301391909
1.9848033,0.012385901,-0.729754955,0.791737689,-0.575171613,1.364287505,-0.554240153,1.766582901,1.30023634,1.32063356
1.766282876,0.070349965,-0.539380898,0.767606359,-0.586337448,1.364287505,-0.578283214,1.29942158,1.319507876,1.3199813
1.298446045,-0.094650046,-1.128450183,0.703256147,-0.554810386,1.364287505,-0.476100206,1.318723063,1.318854604,1.160177764
1.317775438,0.070352936,-0.635927556,0.700574888,-0.569260289,1.364303518,-0.590304744,1.318068776,1.158802861,1.083211163
1.317120204,0.025416674,-0.546735847,0.738112512,-0.585680634,1.364335544,-0.638390865,1.157768323,1.081716716,0.866334935
1.156587959,-9.52384E-05,-0.717764316,0.711299923,-0.596846468,1.36436757,-0.962972184,1.08056239,0.864503636,0.910688569
1.079270387,0.011075693,-0.527416156,0.7193437,-0.595532841,1.364415609,-1.101219783,0.863011775,0.908926161,0.901556939
0.861405197,0.04713463,-0.680678797,0.692531111,-0.61458044,1.363823127,-1.035101366,0.907503329,0.899780347,0.869596232
0.905961085,0.103506242,-0.671096645,0.67108104,-0.623775833,1.364912013,-1.00504754,0.898343304,0.867769998,0.817415485
0.896787814,0.139327498,-0.786004779,0.665718523,-0.607355489,1.364992078,-0.81871382,0.866283213,0.815508205,1.161482283
0.864681365,0.109379894,-0.858492466,0.646949711,-0.579112496,1.365072143,-0.704509282,0.813940208,1.160109406,1.060708216
0.812262672,0.113806673,-0.712222206,0.628180899,-0.503578911,1.365120183,-0.572272449,1.159076898,1.059178817,0.903839846
1.157898426,0.091411331,-0.857793228,0.617455863,-0.391263754,1.365200248,-0.313809547,1.057989469,0.9020668,0.967109002
1.056664826,0.084922683,-0.620984578,0.60136831,-0.397831892,1.365280313,-0.385938729,0.90063331,0.965434225,0.841222951
0.899081132,-0.046632865,-1.016753365,0.566511945,-0.397831892,1.365344365,-0.409981789,0.964099204,0.839352648,0.956020593
0.962638796,0.006687537,-0.710797833,0.55578691,-0.280262225,1.365408417,-0.385938729,0.837821704,0.954328594,0.881989159
0.836178701,-0.022989707,-0.671070747,0.528974321,-0.209326336,1.365472469,-0.464078676,0.952976315,0.880182174,0.67620134
0.951499824,0.003573937,-0.861004544,0.550424392,0.23270934,1.357674125,-0.584293979,0.878714677,0.674074726,0.729686605
0.877130804,0.013482197,-0.611635505,0.553105651,1.126632899,1.340892472,-0.584293979,0.67228695,0.727643065,0.504657135
0.670404586,0.0493807,-0.723125142,0.502161733,3.831392059,1.340972538,-0.584293979,0.72593853,0.50226408,0.683702322
0.724133746,0.036355869,-0.698237444,0.504842992,4.46521736,1.325055589,-0.470089441,0.500209321,0.681587359,0.337678746
0.498078134,0.0621322,-0.713387603,0.478030403,5.051095255,1.325087615,-0.488121736,0.679811257,0.335026341,0.031769119
0.677939773,0.038789112,-0.949574708,0.48607418,6.459960821,1.325151667,-0.391949494,0.332711704,0.028641576,-0.023999053
0.330338318,0.034813924,-0.724963879,0.48607418,6.486890186,1.286720402,-0.64440163,0.025850837,-0.027213216,-0.312623808
0.023033734,0.060073302,-0.938982545,0.480711662,6.232046438,1.240090467,-0.860789176,-0.03009075,-0.316286262,-0.227177835
-0.032988744,0.088327441,-0.855825002,0.483392921,5.609386971,1.144236486,-0.932918358,-0.319612997,-0.230707575,-0.246419486
-0.322929637,-0.020609942,-1.242426,0.496799215,3.907582458,1.027997922,-0.902864532,-0.233901326,-0.249979111,0.281584444
-0.237094028,0.125191516,-0.913162529,0.504842992,3.017599782,0.99989506,-1.113241313,-0.253202809,0.278844912,0.911014699
